Subject Code,Description,Exam Period,Learning Outcome,Topic,QUESTION,Type of Question,Taxonomy,Choice A,Choice B,Choice C,Choice D,Answer,"Correct answer in Words"
MATH001,"Algebra basics",Fall 2023,"Solve linear equations","Linear Equations","What is the solution to 2x + 4 = 10?",Multiple Choice,Knowledge,1,2,3,4,C,"Three"
MATH001,"Algebra basics",Fall 2023,"Solve linear equations","Linear Equations","If x - 5 = 10, what is x?",Multiple Choice,Comprehension,5,10,15,20,C,"Fifteen"
SCI002,"Biology fundamentals",Spring 2023,"Identify cell structures","Cell Biology","Which organelle is known as the powerhouse of the cell?",Multiple Choice,Knowledge,"Nucleus","Mitochondria","Ribosome","Endoplasmite",B,"Mitochondria"
SCI002,"Biology fundamentals",Spring 2023,"Identify cell structures","Cell Biology","What is the main function of the cell membrane?",Multiple Choice,Comprehension,"Energy production","Protection and regulation","Protein synthesis","DNA storage",B,"Protection and regulation"
ENG003,"Literature analysis",Fall 2023,"Analyze literary themes","Literary Analysis","Who wrote ""Romeo and Juliet""?",Multiple Choice,Knowledge,"Charles Dickens","William Shakespeare","Mark Twain","Oscar Wilde",B,"William Shakespeare"
ENG003,"Literature analysis",Fall 2023,"Analyze literary themes","Literary Analysis","What is the main theme of ""Romeo and Juliet""?",Multiple Choice,Comprehension,"War and peace","Love and conflict","Science and technology","Politics and power",B,"Love and conflict"
HIST004,"Ancient civilizations",Spring 2023,"Compare ancient cultures","Ancient Egypt","Which pharaoh built the Great Pyramid of Giza?",Multiple Choice,Knowledge,"Tutankhamun","Ramesses II","Khufu","Akhenaten",C,"Khufu"
HIST004,"Ancient civilizations",Spring 2023,"Compare ancient cultures","Ancient Egypt","How many sides does a pyramid have?",Multiple Choice,Comprehension,3,4,5,6,B,"Four"
MATH001,"Algebra basics",Fall 2023,"Solve quadratic equations","Quadratic Equations","What is the quadratic formula?",Multiple Choice,Analysis,"x = (-b ± √(b²-4ac))/(2a)","x = (b ± √(b²-4ac))/(2a)","x = (-b ± √(b²+4ac))/(2a)","x = (b ± √(b²+4ac))/(2a)",A,"Option A"
MATH001,"Algebra basics",Fall 2023,"Solve quadratic equations","Quadratic Equations","What is the discriminant in the quadratic formula?",Multiple Choice,Comprehension,"b² - 4ac","b² + 4ac",2a,"b - 4ac",A,"b squared minus 4ac"
